objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237657189833835597,2728,301,1,449,1101,3,5.46588365140769,-0.87327767014009,25.91452,24.48637,22.40453,21.45311,20.984,0.5703029,0.6543275,0.1748742,0.1120173,0.2728963
1237657189833834889,2728,301,1,449,393,6,5.46658637967323,-0.875519078355817,22.1016,19.99928,18.88128,18.44244,18.17571,0.174829,0.01700724,0.01023192,0.009780508,0.02146928
1237657189833835613,2728,301,1,449,1117,6,5.47813944316749,-0.877939986016716,25.05901,24.1697,22.4391,21.25253,20.42748,0.754065,0.427361,0.1330035,0.07073569,0.12747
1237657189833834892,2728,301,1,449,396,3,5.47425427400066,-0.882563505045465,20.51663,19.01223,18.24067,17.77885,17.54912,0.09801263,0.01431337,0.01059332,0.01011628,0.02652441
1237657189833834894,2728,301,1,449,398,3,5.47303136002733,-0.88193678594758,23.89787,23.90912,23.46881,22.4166,22.30659,0.6791154,0.3634079,0.3128004,0.195477,0.4980676
1237657189833834893,2728,301,1,449,397,3,5.47286008140372,-0.881360883944262,24.30883,23.69433,22.09428,23.13317,21.63053,1.199234,0.4663365,0.1590378,0.5455953,0.5314369
1237657189833835610,2728,301,1,449,1114,3,5.4770433129251,-0.862368124102923,23.27222,23.50588,22.58401,22.55899,21.40265,0.4784667,0.2830359,0.1693939,0.2380429,0.3083513
1237657189833834807,2728,301,1,449,311,6,5.47344012813295,-0.873634351320421,20.35712,17.77311,16.46978,15.94539,15.66887,0.04658706,0.005719143,0.005126308,0.00491912,0.0061504
1237657189833900868,2728,301,1,450,836,6,5.50023444989972,-0.882103003195194,25.68843,23.23865,21.52321,20.1411,19.50142,0.5129912,0.2147451,0.06160024,0.0288607,0.05901438
1237657189833900867,2728,301,1,450,835,3,5.49974888055527,-0.873615416429102,25.25867,23.716,22.30418,23.65098,22.60472,0.9689856,0.4334257,0.1758962,0.695851,0.7841352
1237657189833900866,2728,301,1,450,834,3,5.49815163177072,-0.874957480052915,23.45343,25.01025,21.83946,24.77127,23.16991,0.9952872,1.203505,0.1735501,1.208478,1.140185
1237657189833835631,2728,301,1,449,1135,3,5.48554082103482,-0.880298585503061,25.51627,23.11325,22.66327,22.39878,22.93335,0.656337,0.2093324,0.1853222,0.214439,0.6236377
1237657189833900858,2728,301,1,450,826,3,5.49048928855342,-0.873143027844376,26.11043,23.88034,22.45852,21.49651,20.92549,0.5055909,0.465947,0.1886005,0.120747,0.2701468
1237657189833900533,2728,301,1,450,501,6,5.49733523782231,-0.847048325822288,23.80353,23.11759,23.35102,22.37512,22.02771,0.637817,0.1958909,0.2809641,0.1854635,0.4372407
1237657189833900524,2728,301,1,450,492,6,5.49506317092215,-0.844097699087417,24.40884,23.1,25.23082,24.59859,22.76656,0.7965322,0.1933279,0.5160159,0.5548899,0.5536942
1237657189833900523,2728,301,1,450,491,3,5.4962912984999,-0.844487346638609,23.24386,23.10358,22.19689,21.33289,20.66003,0.5223112,0.238631,0.1420493,0.09947056,0.2043328
1237657189833835380,2728,301,1,449,884,3,5.48465914964538,-0.855132283649762,24.78555,22.41953,22.08482,22.03988,21.20668,1.151886,0.1498883,0.1470952,0.2101291,0.3618611
1237657189833900869,2728,301,1,450,837,6,5.50048417618183,-0.854893698080969,24.59064,25.01351,22.91906,24.00011,23.2314,0.8167645,0.6130522,0.2061204,0.5581219,0.5293658
1237657189833900521,2728,301,1,450,489,3,5.49446852124134,-0.860264998117029,24.75485,20.95423,19.90933,19.33541,18.99978,1.293369,0.04872417,0.02737617,0.02438836,0.06327131
1237657189833901040,2728,301,1,450,1008,3,5.49090872587209,-0.855758309512867,23.9059,23.43194,22.72972,21.32075,21.27697,1.166445,0.4351919,0.322019,0.1438956,0.4720514
1237657189833900517,2728,301,1,450,485,3,5.49259451970642,-0.862787096069943,22.92019,21.87572,21.38967,21.20599,21.25564,0.463928,0.09063499,0.08267216,0.1026111,0.3725728
1237657189833900518,2728,301,1,450,486,3,5.49148528873224,-0.862432454442403,23.95858,23.85166,21.9205,21.39521,22.10577,1.467148,0.759143,0.2058216,0.1929577,1.101667
1237657189833900513,2728,301,1,450,481,3,5.49027734273773,-0.869756476875593,23.06387,22.78955,22.39561,22.3249,22.02998,0.4328869,0.170184,0.1580242,0.2185693,0.5370091
1237657189833834817,2728,301,1,449,321,3,5.4864348134314,-0.861198992468379,20.91171,19.47096,18.72132,18.32248,18.07174,0.09410911,0.01464305,0.01101988,0.01095484,0.02808539
1237657189833835629,2728,301,1,449,1133,3,5.48518207695111,-0.871089594100281,23.26065,23.06402,22.39432,22.67951,21.43967,0.610902,0.2566226,0.1934462,0.3574578,0.430973
1237657189833901060,2728,301,1,450,1028,6,5.52099497411507,-0.882295167136342,24.78654,24.39898,23.01788,22.10722,21.37391,0.879581,0.5708473,0.2738012,0.1638252,0.3328451
1237657189833900395,2728,301,1,450,363,3,5.50519974384792,-0.844062725566186,21.99536,22.31311,21.74336,22.15188,22.27919,0.1660654,0.104706,0.08014488,0.1673442,0.5402082
1237657189833900397,2728,301,1,450,365,6,5.50939019163081,-0.851586512060419,22.16729,25.67135,24.03056,23.29164,23.61821,0.2276904,0.6566098,0.5941527,0.4978216,0.5524638
1237657189833900400,2728,301,1,450,368,6,5.51411867499104,-0.860971134620537,22.38167,24.43211,24.62895,24.42222,22.9618,0.2239622,0.5060722,0.5534027,0.5674775,0.5499009
1237657189833901163,2728,301,1,450,1131,3,5.51485098508044,-0.864445135526882,25.97492,23.23247,22.12131,21.83626,21.92644,0.8286229,0.4024551,0.2087627,0.2594524,0.851347
