objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671939804562399,6162,301,3,133,991,3,258.055209710615,64.0576401799369,25.72968,21.7287,21.27397,20.74825,21.13299,1.120512,0.09694548,0.09248824,0.08546268,0.457963
1237671939804562410,6162,301,3,133,1002,3,258.063650131789,64.0506673138927,23.14498,22.33704,21.78537,21.48095,21.3557,0.9888645,0.1884914,0.163356,0.1837483,0.625124
1237671939804562370,6162,301,3,133,962,3,258.039392465061,64.046878883736,23.73964,22.70308,23.08325,22.13591,21.86266,0.8809218,0.1568516,0.298825,0.1956763,0.5251988
1237671939804562376,6162,301,3,133,968,3,258.041549448238,64.0489018597433,24.44411,22.2908,21.79786,21.51736,21.25181,1.246201,0.1142246,0.1168519,0.1197824,0.3563045
1237671939804562783,6162,301,3,133,1375,3,258.030188321059,64.0503906823045,23.64357,24.19473,22.85099,21.56622,21.39789,0.694288,0.4212756,0.1958798,0.09339497,0.2900121
1237671939804561494,6162,301,3,133,86,6,258.07233499828,64.0403093853719,24.22702,20.88815,19.46177,18.49084,17.99513,0.9044202,0.03110032,0.0140339,0.009903168,0.02005508
1237671939804561530,6162,301,3,133,122,6,258.06106659345,64.0449193241844,25.01977,22.98697,21.93208,20.7895,20.40485,0.960866,0.177916,0.09631244,0.05176302,0.1402981
1237671939804563016,6162,301,3,133,1608,3,258.045124060253,64.0540672180187,23.03228,22.94671,22.33719,21.84371,22.16762,0.6353808,0.2300797,0.189898,0.1824533,0.8009652
1237671939804562388,6162,301,3,133,980,3,258.04772692103,64.050156546376,23.94058,22.26511,21.65991,21.55532,21.34402,1.105315,0.1182246,0.09627365,0.1282074,0.3937955
1237671939804562394,6162,301,3,133,986,3,258.0555671555,64.0479355213253,22.42164,20.36793,19.63078,19.25985,19.15021,0.5253435,0.03427228,0.02599142,0.02725316,0.0928786
1237671939804561798,6162,301,3,133,390,6,257.973779437801,64.0445226966335,24.5471,22.69367,21.29208,20.87088,20.48706,0.9578453,0.1282883,0.05115369,0.05073751,0.1328509
1237671939804561809,6162,301,3,133,401,6,257.986607852032,64.0391012342377,22.07989,19.52807,18.09501,16.89025,16.26716,0.1998235,0.01243353,0.006827736,0.005148238,0.007717616
1237671939804561797,6162,301,3,133,389,6,257.976820691591,64.045297564047,24.58781,23.42246,21.72747,20.70654,20.09323,1.007447,0.2403616,0.07470289,0.04559966,0.09785055
1237671939804561799,6162,301,3,133,391,3,257.979418512305,64.0448312152723,23.85518,21.96332,21.31162,20.99982,21.09684,0.8451092,0.07562751,0.05819001,0.06520858,0.2540996
1237671939804561796,6162,301,3,133,388,6,257.976848104824,64.0437367891731,22.47598,20.21826,18.73247,17.71178,17.15604,0.276278,0.01914474,0.009223429,0.006813726,0.01188358
1237671939804561826,6162,301,3,133,418,3,258.004094683445,64.0378605989913,19.43979,17.46256,16.59365,16.18349,15.89841,0.05098085,0.005437127,0.004109875,0.004042025,0.008690079
1237671939804561825,6162,301,3,133,417,6,258.004040875655,64.0363154285272,20.60424,18.69574,18.01303,17.76456,17.62261,0.0643004,0.008003438,0.006659362,0.007045146,0.0156527
1237671939804561827,6162,301,3,133,419,3,258.010542536353,64.0348324741699,23.92399,21.7298,21.20186,20.9449,21.22378,1.12465,0.07730222,0.06906967,0.08057273,0.3829792
